area,bedrooms,bathrooms,balcony,location,price
931,2,3,0,Mumbai,34610000
1463,2,3,0,Mumbai,45145000
1438,2,3,2,Mumbai,56240000
2368,5,6,3,Mumbai,153430000
2094,3,4,1,Mumbai,124485000
725,1,1,1,Mumbai,46335000
2806,5,6,1,Mumbai,141045000
3237,3,4,2,Mumbai,126805000
659,1,1,0,Mumbai,41475000
2433,5,5,3,Mumbai,166510000
3182,3,4,0,Mumbai,198760000
1918,3,3,2,Mumbai,82965000
537,1,2,1,Mumbai,24195000
2211,4,4,0,Mumbai,123770000
1637,3,3,0,Mumbai,77370000
2389,4,5,0,Mumbai,161015000
1785,4,5,3,Mumbai,97965000
2216,4,4,1,Mumbai,138435000
1199,2,3,1,Mumbai,59830000
925,2,2,1,Mumbai,35760000
2074,3,4,1,Mumbai,91675000
2485,3,3,0,Mumbai,167465000
1756,4,4,3,Mumbai,72155000
1085,2,3,3,Mumbai,35765000
1071,2,3,1,Mumbai,44275000
1765,5,5,3,Mumbai,88585000
1417,3,3,1,Mumbai,49380000
2853,5,5,3,Mumbai,163225000
1262,2,3,2,Mumbai,64175000
3006,4,4,1,Mumbai,147615000
1237,3,3,0,Mumbai,50075000
3344,4,4,1,Mumbai,239430000
2210,4,4,2,Mumbai,65955000
1069,3,3,0,Mumbai,36335000
2355,5,6,1,Mumbai,127880000
2107,3,3,0,Mumbai,149440000
1019,3,4,3,Mumbai,45535000
877,3,4,0,Mumbai,32500000
3281,3,3,3,Mumbai,198520000
1516,3,3,0,Mumbai,41775000
616,1,1,3,Mumbai,22705000
773,1,1,2,Mumbai,30415000
1106,3,3,0,Mumbai,47870000
1915,4,5,0,Mumbai,97650000
2948,3,3,2,Mumbai,261580000
3220,4,4,3,Mumbai,177510000
501,1,2,1,Mumbai,14870000
3418,3,3,2,Mumbai,176175000
605,1,1,2,Mumbai,34150000
2770,4,5,3,Mumbai,206670000
2213,4,5,2,Mumbai,126200000
521,1,1,0,Mumbai,25530000
1373,2,3,3,Mumbai,45515000
1824,4,4,1,Mumbai,73015000
1184,2,3,2,Mumbai,52815000
1582,4,4,2,Mumbai,36070000
944,2,2,0,Mumbai,34235000
2248,4,5,3,Mumbai,135590000
3352,3,3,3,Mumbai,330085000
3494,4,4,0,Mumbai,210530000
3413,3,4,1,Mumbai,217590000
1254,2,3,3,Mumbai,63730000
1029,3,4,2,Mumbai,35895000
977,2,2,1,Mumbai,52115000
501,1,2,0,Mumbai,15405000
880,2,2,0,Mumbai,33635000
629,1,1,0,Mumbai,16845000
1947,4,4,2,Mumbai,114400000
2834,3,3,1,Mumbai,133890000
3391,5,5,3,Mumbai,96245000
2299,4,5,3,Mumbai,86145000
2456,3,3,0,Mumbai,84670000
2155,5,5,2,Mumbai,166785000
2439,3,3,2,Mumbai,213230000
1816,5,5,2,Mumbai,69800000
1582,3,3,1,Mumbai,62375000
1535,3,4,3,Mumbai,42915000
2974,3,3,3,Mumbai,185630000
2698,3,3,3,Mumbai,151965000
2533,3,4,0,Mumbai,144665000
1881,5,5,1,Mumbai,83460000
802,2,2,3,Mumbai,31545000
844,3,3,2,Mumbai,40435000
1509,4,4,0,Mumbai,99910000
1612,5,6,0,Mumbai,62320000
993,3,3,1,Mumbai,36110000
2944,4,4,2,Mumbai,103270000
954,2,2,3,Mumbai,29285000
1210,2,2,0,Mumbai,29315000
2838,3,3,2,Mumbai,145400000
3389,4,4,0,Mumbai,190665000
3001,5,6,0,Mumbai,213215000
511,1,1,2,Mumbai,32015000
1443,2,3,3,Mumbai,67500000
1390,2,3,2,Mumbai,51565000
1214,2,2,0,Mumbai,52785000
969,2,2,3,Mumbai,30020000
2192,5,5,3,Mumbai,91620000
605,1,2,0,Mumbai,17615000
1562,4,5,3,Mumbai,72255000
944,2,3,3,Mumbai,41840000
3106,5,5,1,Mumbai,74175000
1800,5,5,0,Mumbai,60260000
2156,5,6,3,Mumbai,133800000
1572,3,4,1,Mumbai,83985000
3404,3,3,0,Mumbai,210305000
1962,4,4,2,Mumbai,87555000
3208,3,3,2,Mumbai,226460000
2966,4,4,1,Mumbai,194620000
940,2,3,2,Mumbai,24640000
762,1,1,1,Mumbai,43065000
3006,5,5,2,Mumbai,149465000
2103,4,4,2,Mumbai,94770000
2264,5,5,3,Mumbai,152755000
1876,3,3,3,Mumbai,111885000
1455,3,3,0,Mumbai,54520000
3323,5,5,1,Mumbai,172875000
841,3,4,1,Mumbai,20500000
3161,4,5,1,Mumbai,213295000
1965,5,5,2,Mumbai,49305000
1516,3,3,1,Mumbai,96370000
1156,2,3,2,Mumbai,42265000
2179,3,3,2,Mumbai,123010000
785,1,1,1,Mumbai,37150000
955,3,3,3,Mumbai,26110000
3056,3,3,1,Mumbai,170475000
3296,3,3,2,Mumbai,185475000
1334,2,2,3,Mumbai,31555000
810,2,3,2,Mumbai,32730000
2326,4,4,1,Mumbai,125765000
633,1,1,1,Mumbai,23970000
3125,3,3,1,Mumbai,140515000
2311,4,5,1,Mumbai,127320000
1633,5,6,3,Mumbai,89570000
3446,5,6,0,Mumbai,161935000
1463,2,3,3,Mumbai,55225000
627,1,1,1,Mumbai,22510000
2994,4,4,1,Mumbai,192240000
1583,3,3,0,Mumbai,68245000
1141,2,3,2,Mumbai,62025000
1579,3,3,0,Mumbai,60880000
899,2,2,2,Mumbai,32910000
2075,5,5,3,Mumbai,129150000
921,2,2,3,Mumbai,27100000
2097,4,4,2,Mumbai,151360000
2264,3,4,2,Mumbai,115580000
885,2,2,1,Mumbai,42610000
2411,4,4,0,Mumbai,107050000
2509,3,4,1,Mumbai,90835000
2942,3,4,2,Mumbai,132025000
1128,2,2,3,Mumbai,52845000
2268,4,5,1,Mumbai,86815000
2568,5,5,3,Mumbai,118555000
2676,5,5,0,Mumbai,186925000
741,1,2,0,Mumbai,29210000
1275,3,3,2,Mumbai,67050000
1355,3,3,3,Mumbai,80665000
1344,2,3,0,Mumbai,55040000
907,2,2,3,Mumbai,28710000
865,3,4,2,Mumbai,45375000
1914,4,4,1,Mumbai,93320000
3067,3,3,3,Mumbai,139945000
2915,5,5,3,Mumbai,126805000
2140,4,4,1,Mumbai,92525000
3314,5,6,3,Mumbai,137310000
1280,2,3,3,Mumbai,49835000
3439,3,3,0,Mumbai,140860000
2671,3,3,3,Mumbai,75285000
2961,5,5,2,Mumbai,176775000
2669,5,6,0,Mumbai,178145000
1279,3,3,0,Mumbai,55365000
1162,3,3,1,Mumbai,64410000
1161,3,4,0,Mumbai,39765000
712,2,3,2,Mumbai,30410000
1986,4,5,0,Mumbai,123865000
1876,4,4,2,Mumbai,74845000
522,1,2,2,Mumbai,19750000
2683,3,3,0,Mumbai,186585000
2399,4,5,3,Mumbai,141145000
3020,4,5,2,Mumbai,159165000
2254,3,3,0,Mumbai,176165000
2781,4,4,0,Mumbai,255360000
2497,3,4,0,Mumbai,177415000
1514,3,3,1,Mumbai,82460000
2679,3,3,1,Mumbai,156865000
2328,4,4,2,Mumbai,159155000
2952,3,3,3,Mumbai,141080000
1025,3,3,1,Mumbai,66550000
1578,4,4,3,Mumbai,90260000
2706,3,3,2,Mumbai,172245000
2401,3,3,3,Mumbai,156285000
3474,5,5,0,Mumbai,238595000
1239,2,3,0,Mumbai,48050000
3310,5,6,0,Mumbai,177920000
1519,3,3,1,Mumbai,90290000
2510,4,5,3,Mumbai,159405000
574,2,3,0,Mumbai,19950000
2597,3,4,1,Mumbai,103680000
2801,4,4,2,Mumbai,167835000
1949,5,5,0,Mumbai,85480000
1872,3,3,0,Mumbai,60315000
2125,3,4,1,Mumbai,33215000
3478,3,4,1,Mumbai,179600000
2119,4,5,1,Mumbai,88130000
1931,3,3,3,Mumbai,66965000
769,1,1,1,Mumbai,23195000
2514,3,4,3,Mumbai,145435000
2142,3,4,0,Mumbai,113730000
2743,3,4,1,Mumbai,161465000
1443,3,3,3,Mumbai,58390000
1395,3,3,0,Mumbai,66210000
2253,3,3,2,Mumbai,85740000
2380,5,6,0,Mumbai,107715000
2874,4,4,3,Mumbai,127060000
1072,3,4,0,Mumbai,44990000
2133,3,3,0,Mumbai,160510000
3389,3,4,3,Mumbai,178450000
2403,3,4,3,Mumbai,128505000
843,3,3,2,Mumbai,27980000
2354,3,3,0,Mumbai,128585000
1031,2,3,3,Mumbai,26065000
2760,4,4,1,Mumbai,156650000
3227,5,6,2,Mumbai,139200000
2491,3,3,2,Mumbai,142065000
1273,2,2,2,Mumbai,66915000
806,2,2,3,Mumbai,27385000
3055,4,4,0,Mumbai,213815000
2467,5,5,3,Mumbai,89565000
967,2,2,3,Mumbai,35090000
1112,3,4,0,Mumbai,39590000
2807,4,5,2,Mumbai,163070000
3361,3,4,0,Mumbai,197570000
2410,3,4,1,Mumbai,93895000
2060,3,3,3,Mumbai,106920000
1429,2,2,2,Mumbai,61375000
1895,5,5,3,Mumbai,79925000
1918,5,5,0,Mumbai,85355000
1654,5,5,3,Mumbai,33140000
2703,5,5,0,Mumbai,181965000
2854,3,4,0,Mumbai,151545000
2826,4,4,0,Mumbai,173490000
1430,2,3,1,Mumbai,62040000
1589,3,3,2,Mumbai,77490000
623,2,2,3,Mumbai,23075000
2738,3,4,2,Mumbai,113835000
2774,4,4,3,Mumbai,127735000
2519,5,6,2,Mumbai,169655000
2766,4,4,3,Mumbai,166620000
3105,3,4,3,Mumbai,161885000
2546,3,3,0,Mumbai,105380000
923,3,4,2,Mumbai,40100000
3494,5,5,3,Mumbai,159980000
1479,3,3,0,Mumbai,71580000
2031,4,4,3,Mumbai,97770000
1433,2,2,0,Mumbai,30000000
1726,3,3,1,Mumbai,72780000
2769,4,4,3,Mumbai,169950000
2121,5,5,2,Mumbai,144020000
3024,5,5,3,Mumbai,170585000
1848,3,3,3,Mumbai,108605000
2544,4,4,2,Mumbai,164075000
1947,3,3,2,Mumbai,148240000
1026,3,4,0,Mumbai,55175000
678,1,1,3,Mumbai,25025000
1271,2,2,1,Mumbai,39055000
2894,4,4,2,Mumbai,123105000
2761,3,3,3,Mumbai,183935000
1990,3,4,0,Mumbai,95295000
2144,3,3,2,Mumbai,80590000
2212,4,4,1,Mumbai,41960000
1380,2,2,3,Mumbai,50415000
2468,3,3,1,Mumbai,75450000
2929,3,4,0,Mumbai,126405000
3366,5,5,2,Mumbai,199145000
896,3,3,2,Mumbai,31940000
500,1,2,3,Mumbai,16570000
955,3,3,0,Mumbai,46530000
2650,5,6,0,Mumbai,126995000
1358,2,3,2,Mumbai,55725000
3397,3,3,0,Mumbai,159385000
3186,4,4,2,Mumbai,243815000
831,2,2,2,Mumbai,28870000
2293,4,4,1,Mumbai,134510000
1409,3,4,0,Mumbai,68540000
2063,3,3,0,Mumbai,81670000
1604,4,4,2,Mumbai,75030000
2356,3,3,0,Mumbai,135835000
722,1,2,1,Mumbai,21245000
2319,3,4,3,Mumbai,90200000
2521,4,4,1,Mumbai,171880000
2323,5,6,2,Mumbai,117230000
3107,3,3,1,Mumbai,182250000
2135,3,3,1,Mumbai,110870000
2968,5,5,3,Mumbai,114585000
2310,3,3,3,Mumbai,142040000
3428,4,4,1,Mumbai,253065000
1963,5,5,3,Mumbai,64480000
1678,3,4,2,Mumbai,78280000
1757,3,3,0,Mumbai,43930000
3032,5,5,3,Mumbai,153175000
3193,4,5,0,Mumbai,185955000
3185,3,3,3,Mumbai,142235000
1801,4,4,0,Mumbai,56015000
1320,3,3,1,Mumbai,53885000
1877,3,3,0,Mumbai,128930000
2056,5,5,2,Mumbai,116415000
2127,4,5,0,Mumbai,111870000
2982,4,5,1,Mumbai,261795000
2651,3,4,2,Mumbai,130515000
1807,5,6,1,Mumbai,56045000
2546,5,6,2,Mumbai,120170000
2793,3,4,3,Mumbai,73630000
1476,3,3,1,Mumbai,63960000
2271,4,4,2,Mumbai,124985000
1751,3,3,3,Mumbai,121250000
1203,2,2,2,Mumbai,33855000
2472,5,5,2,Mumbai,189040000
1402,3,3,0,Mumbai,79050000
2363,5,5,0,Mumbai,97495000
1846,3,3,1,Mumbai,67370000
2224,5,5,3,Mumbai,125735000
2867,3,3,1,Mumbai,201845000
1195,2,3,2,Mumbai,40985000
3194,3,3,0,Mumbai,214995000
2548,3,3,3,Mumbai,165880000
756,2,2,3,Mumbai,38790000
1301,2,2,1,Mumbai,78690000
2515,3,4,2,Mumbai,166780000
857,2,2,2,Mumbai,29920000
2869,3,3,2,Mumbai,184040000
2450,3,3,3,Mumbai,109040000
2090,5,5,0,Mumbai,102230000
2868,4,4,0,Mumbai,93300000
1804,3,4,2,Mumbai,106865000
3091,3,3,3,Mumbai,259280000
2959,3,3,2,Mumbai,197600000
1545,4,4,2,Mumbai,57365000
2450,3,3,1,Mumbai,166045000
1598,3,3,0,Mumbai,72775000
2309,3,4,2,Mumbai,127715000
1611,5,5,0,Mumbai,76755000
2197,3,4,2,Mumbai,89740000
1318,2,3,3,Mumbai,54605000
2948,4,4,0,Mumbai,182250000
2510,5,5,2,Mumbai,157325000
1624,5,6,0,Mumbai,58860000
930,3,3,3,Mumbai,42495000
3357,3,3,2,Mumbai,242125000
3087,5,5,3,Mumbai,147590000
1759,3,4,0,Mumbai,55660000
2757,4,4,1,Mumbai,176625000
1982,4,4,3,Mumbai,64560000
3168,4,4,0,Mumbai,192160000
2821,4,5,3,Mumbai,121125000
1039,3,3,3,Mumbai,51450000
2601,4,4,0,Mumbai,162845000
1057,2,3,1,Mumbai,39575000
2658,3,4,3,Mumbai,50145000
1040,2,3,3,Mumbai,55720000
618,2,3,3,Mumbai,21100000
3245,5,5,1,Mumbai,210165000
2197,3,3,3,Mumbai,139825000
2024,3,4,2,Mumbai,77450000
2051,4,4,0,Mumbai,71990000
3170,4,4,3,Mumbai,205190000
1979,3,3,3,Mumbai,105375000
694,2,3,1,Mumbai,38965000
3018,4,4,3,Mumbai,162820000
892,2,2,3,Mumbai,40065000
3087,4,4,1,Mumbai,173350000
2909,5,6,2,Mumbai,116460000
3003,4,4,3,Mumbai,176745000
2494,3,3,3,Mumbai,181240000
2092,5,6,1,Mumbai,89920000
3341,3,3,3,Mumbai,107010000
2562,3,4,1,Mumbai,116495000
3000,4,5,1,Mumbai,257280000
2432,3,3,1,Mumbai,70970000
1616,3,4,3,Mumbai,81830000
2191,4,4,3,Mumbai,132740000
2390,3,3,2,Mumbai,134090000
1662,3,4,2,Mumbai,81965000
2858,3,3,1,Mumbai,180185000
2672,5,6,0,Mumbai,126615000
3395,5,6,0,Mumbai,207400000
2519,3,3,2,Mumbai,158115000
3140,3,3,1,Mumbai,187400000
2968,3,3,3,Mumbai,207930000
2718,3,4,3,Mumbai,168375000
2126,3,3,0,Mumbai,138905000
2176,3,4,1,Mumbai,143080000
2022,3,3,2,Mumbai,107020000
1479,2,2,2,Mumbai,60040000
3265,4,5,0,Mumbai,207610000
2503,4,4,0,Mumbai,114130000
2400,5,5,2,Mumbai,113175000
1564,3,3,0,Mumbai,79085000
2460,5,5,2,Mumbai,106890000
3371,4,4,1,Mumbai,178395000
2746,5,6,3,Mumbai,158835000
904,3,4,3,Mumbai,22810000
720,1,1,3,Mumbai,28425000
1114,2,2,2,Mumbai,15395000
539,1,2,0,Mumbai,22405000
3083,4,4,0,Mumbai,145090000
3175,3,3,1,Mumbai,173875000
680,2,2,0,Mumbai,25760000
2173,3,3,0,Mumbai,103835000
711,1,1,2,Mumbai,23975000
2034,4,4,0,Mumbai,85540000
2349,3,3,0,Mumbai,102425000
995,3,4,2,Mumbai,30305000
3051,4,4,3,Mumbai,143840000
2322,4,4,1,Mumbai,136090000
3314,4,4,3,Mumbai,110765000
652,1,1,0,Mumbai,30935000
2356,4,4,0,Mumbai,165945000
2414,5,5,1,Mumbai,167140000
666,2,2,1,Mumbai,22840000
1664,3,3,0,Mumbai,86010000
2038,3,4,3,Mumbai,130885000
564,1,1,3,Mumbai,22825000
2067,3,4,0,Mumbai,112865000
2423,4,4,1,Mumbai,149605000
3436,4,4,0,Mumbai,277130000
889,2,3,1,Mumbai,35555000
2006,5,5,2,Mumbai,80155000
1382,2,2,1,Mumbai,40880000
874,2,3,2,Mumbai,22970000
612,1,1,0,Mumbai,28370000
639,1,1,0,Mumbai,26980000
1387,3,3,3,Mumbai,67945000
518,1,1,1,Mumbai,23285000
1664,4,5,2,Mumbai,72870000
2049,4,5,0,Mumbai,105240000
2885,5,6,3,Mumbai,138830000
2765,3,4,1,Mumbai,211295000
1991,3,3,3,Mumbai,76765000
2934,3,3,3,Mumbai,195240000
2713,5,5,2,Mumbai,229780000
718,1,2,2,Mumbai,40985000
902,3,3,1,Mumbai,30110000
3349,4,4,2,Mumbai,240900000
1059,2,2,2,Mumbai,52565000
3055,3,3,2,Mumbai,160270000
2313,4,4,0,Mumbai,137105000
783,1,1,2,Mumbai,28470000
2420,3,4,1,Mumbai,79710000
1117,3,3,1,Mumbai,34675000
1864,5,5,2,Mumbai,81895000
1143,2,3,1,Mumbai,67500000
2759,3,3,0,Mumbai,173600000
650,1,2,3,Mumbai,20695000
568,1,2,2,Mumbai,18610000
560,1,1,0,Mumbai,18960000
1827,3,4,2,Mumbai,88180000
774,1,1,3,Mumbai,34345000
3380,3,4,3,Mumbai,129405000
1190,3,3,0,Mumbai,59765000
1892,5,6,0,Mumbai,137080000
1148,2,3,1,Mumbai,30245000
1711,5,5,1,Mumbai,91415000
2142,5,5,1,Mumbai,163255000
1728,3,3,0,Mumbai,78700000
1374,2,3,2,Mumbai,67725000
3481,4,4,1,Mumbai,144425000
1864,3,3,1,Mumbai,102055000
1302,3,3,3,Mumbai,58605000
2830,4,4,0,Mumbai,146245000
2700,5,5,2,Mumbai,155510000
2071,4,4,1,Mumbai,108220000
2656,4,4,1,Mumbai,115905000
2808,4,5,2,Mumbai,63675000
3442,4,4,0,Mumbai,140485000
3200,4,4,3,Mumbai,182380000
1161,2,2,1,Mumbai,66030000
2782,4,5,1,Mumbai,124170000
3479,3,3,2,Mumbai,178995000
2753,3,3,2,Mumbai,124505000
911,2,3,0,Mumbai,29775000
518,1,1,1,Mumbai,20515000
2022,4,4,0,Mumbai,75745000
738,1,1,3,Mumbai,28480000
1355,3,3,0,Mumbai,63375000
804,3,4,2,Mumbai,29455000
1028,3,3,2,Mumbai,40200000
3088,4,4,3,Mumbai,186170000
1596,4,5,0,Mumbai,83165000
2121,5,5,2,Mumbai,125415000
838,3,3,2,Mumbai,18180000
1398,2,2,0,Mumbai,51545000
2732,4,5,3,Mumbai,187080000
3372,5,5,0,Mumbai,173165000
2483,5,5,2,Mumbai,183985000
2374,3,4,3,Mumbai,125470000
2030,3,3,2,Mumbai,95165000
3166,5,5,1,Mumbai,166355000
2895,4,4,3,Mumbai,245165000
1218,2,2,0,Mumbai,65075000
2353,5,5,0,Mumbai,143975000
3032,3,4,2,Mumbai,149475000
